,player_id,targets,deep_targets,red_zone_targets,air_yards,air_yards_per_target,yac,yac_oe,carries,yards_per_carry,red_zone_carries,big_carries,cpoe,big_carry_percentage,player_name,team,targets_team,carries_team,red_zone_targets_team,red_zone_carries_team,target_percentage,carry_percentage,red_zone_target_percentage,red_zone_carry_percentage
39,00-0036860,,,,,,,,1.0,6.0,,,,,J.Funk,LA,275,201,27,16,,0.004975124378109453,,
40,00-0028872,,,,,,,,1.0,0.0,,,,,J.Hekker,LA,275,201,27,16,,0.004975124378109453,,
41,00-0034449,,,,,,,,5.0,2.2,,,,,B.Howell,LA,275,201,27,16,,0.024875621890547265,,
42,00-0026498,,,,,,,,10.0,3.6,2.0,,2.4208320842848883,,M.Stafford,LA,275,201,27,16,,0.04975124378109453,,0.125
43,00-0035703,1.0,,,6.0,6.0,0.0,-3.605423053035338,,,,,,,M.Boykin,BAL,231,211,11,19,0.004329004329004329,,,
44,00-0030496,3.0,,,0.0,0.0,0.0,-7.746589414986374,17.0,2.0,2.0,,,,L.Bell,BAL,231,211,11,19,0.012987012987012988,0.08056872037914692,,0.10526315789473684
45,00-0033376,4.0,,,14.0,3.5,6.0,-7.35556226906192,1.0,2.0,,,,,P.Ricard,BAL,231,211,11,19,0.017316017316017316,0.004739336492890996,,
46,00-0030513,5.0,,,-3.0,-0.6,29.0,-2.6411323852444184,59.0,3.593220338983051,5.0,2.0,,0.03389830508474576,L.Murray,BAL,231,211,11,19,0.021645021645021644,0.2796208530805687,,0.2631578947368421
47,00-0031285,9.0,,,26.0,2.888888888888889,50.0,12.367493186415233,20.0,5.45,3.0,3.0,,0.15,D.Freeman,BAL,231,211,11,19,0.03896103896103896,0.0947867298578199,,0.15789473684210525
48,00-0036457,11.0,,,33.0,3.0,71.0,3.37135792710615,33.0,5.454545454545454,2.0,6.0,,0.18181818181818182,T.Williams,BAL,231,211,11,19,0.047619047619047616,0.15639810426540285,,0.10526315789473684
49,00-0036133,11.0,,,114.0,10.363636363636363,42.0,2.9009243003674783,,,,,,,J.Proche,BAL,231,211,11,19,0.047619047619047616,,,
50,00-0035249,12.0,1.0,,126.0,10.5,24.0,-9.932972033660917,,,,,,,J.Oliver,BAL,231,211,11,19,0.05194805194805195,,,
51,00-0036550,12.0,,,109.0,9.083333333333334,44.0,10.288991741304926,,,,,,,R.Bateman,BAL,231,211,11,19,0.05194805194805195,,,
52,00-0036331,19.0,2.0,1.0,183.0,9.631578947368421,56.0,-11.09578698127007,2.0,4.5,,1.0,,0.5,D.Duvernay,BAL,231,211,11,19,0.08225108225108226,0.009478672985781991,0.09090909090909091,
53,00-0031325,32.0,4.0,,421.0,13.15625,85.0,5.589357982018555,,,,,,,S.Watkins,BAL,231,211,11,19,0.13852813852813853,,,
54,00-0034753,54.0,2.0,6.0,522.0,10.235294117647058,146.0,-2.2053225768759157,,,,,,,M.Andrews,BAL,231,211,11,19,0.23376623376623376,,0.5454545454545454,
55,00-0035662,58.0,11.0,4.0,908.0,15.929824561403509,173.0,2.456829219729115,1.0,5.0,,,,,M.Brown,BAL,231,211,11,19,0.2510822510822511,0.004739336492890996,0.36363636363636365,
56,00-0035993,,,,,,,,1.0,12.0,,1.0,-20.27656381780451,1.0,T.Huntley,BAL,231,211,11,19,,0.004739336492890996,,
57,00-0034164,,,,,,,,3.0,1.3333333333333333,,,,,T.Cannon,BAL,231,211,11,19,,0.014218009478672985,,
58,00-0034796,,,,,,,,75.0,6.513513513513513,7.0,15.0,3.1606145755008415,0.2,L.Jackson,BAL,231,211,11,19,,0.35545023696682465,,0.3684210526315789
