,team,offense_pass_oe,offense_pass_oe_est,defense_pass_oe,defense_pass_oe_est,goal_offense_pass_oe,offense_snaps,defense_snaps,dropbacks,dropbacks_def,defense_yac,defense_yac_est,defense_cpoe,defense_cpoe_est,defense_air_yards,defense_ypc,defense_ypc_est,targets,carries,red_zone_targets,red_zone_carries,deep_targets,defense_sacks,def_ints,defense_qb_hits,offense_sacks,offense_qb_hits,offense_scrambles,defense_tfl,offense_tfl,defense_holds_drawn,offense_holds_drawn,offense_pen_rate,defense_pen_rate,offense_hold_rate,defense_hold_rate,offense_sacks_per_dropback,offense_qb_hits_per_dropback,offense_scrambles_per_dropback,defense_int_rate,defense_int_rate_est,defense_relative_ypc,defense_relative_yac,defense_relative_ypc_est,defense_relative_yac_est,defense_relative_air_yards,defense_relative_int_rate,defense_relative_int_rate_est
10,DEN,-1.4416219863176962,-2.3297236791064617,0.6707413859772213,1.2361746614328497,-0.6594358055397521,598,580,337,327,5.442528735632184,5.499162515203903,-5.6146574778071905,-3.8254996227588123,9.498360655737704,4.315533980582524,4.323524670975995,297,224,21,18,17,22.0,7.0,43.0,29.0,62.0,10,14.0,21.0,10.0,9.0,0.13879598662207357,0.09827586206896552,0.015050167224080268,0.017241379310344827,0.08605341246290801,0.18397626112759644,0.02967359050445104,0.021406727828746176,0.021512148526383775,1.0065206624242395,1.0322951010040595,1.0083843472021259,1.0430369410646316,1.1978380996583964,1.0089040608776045,1.013872562873706
11,PHI,-0.7617378474346229,-6.480602821150187,0.15621375699708342,1.6275106440809677,-13.42522183368946,585,633,293,324,4.818181818181818,5.0382755390441805,8.456234965059492,7.1537905076339126,6.360655737704918,4.164750957854406,4.0056734989155025,262,246,16,36,20,17.0,6.0,46.0,15.0,33.0,40,18.0,17.0,17.0,8.0,0.08547008547008547,0.10110584518167456,0.013675213675213675,0.026856240126382307,0.051194539249146756,0.11262798634812286,0.13651877133105803,0.018518518518518517,0.019838060907625382,0.97135323503252,0.9138739964922181,0.9342512796155598,0.9556196042499658,0.8021421861709662,0.8727820844099913,0.9349724240789209
12,CIN,-0.6865096085450866,1.3501346895330704,2.5396120232795374,3.5728345484299826,18.008607056211023,565,638,314,372,5.046808510638298,5.240373551957767,2.2699424499148004,1.7840496892548863,7.482658959537572,4.382775119617225,4.32991522481845,283,219,19,12,19,23.0,7.0,46.0,25.0,53.0,9,23.0,21.0,14.0,9.0,0.13097345132743363,0.10815047021943573,0.01592920353982301,0.0219435736677116,0.07961783439490445,0.16878980891719744,0.028662420382165606,0.01881720430107527,0.019799176856368294,1.0222034484034226,0.9572380697099541,1.0098748289167196,0.9939519307818381,0.9436379932646634,0.8868592148037009,0.9331398097003717
13,SEA,-0.6355386055054117,-1.3511134976229755,-1.2655756136212803,1.2169178994553376,-0.7424920797348022,468,612,245,337,5.319047619047619,5.299498698157068,0.7739626907993674,-0.2680795802759381,7.643962848297214,4.351694915254237,4.194553338830537,206,192,6,13,11,14.0,3.0,41.0,26.0,46.0,14,17.0,22.0,11.0,5.0,0.1452991452991453,0.09477124183006536,0.010683760683760684,0.017973856209150325,0.10612244897959183,0.18775510204081633,0.05714285714285714,0.008902077151335312,0.0154265822717434,1.0149545498836865,1.0088741954087945,0.9783041042359334,1.0051663132375694,0.9639800239141989,0.41955696639293355,0.7270584100445389
14,BAL,-0.6120405718684195,-0.4213075675403297,3.2794567361474036,1.5529743971004544,-7.575524839408257,591,516,303,308,6.666666666666667,6.007117327281333,-1.5136309335349312,-0.9782419693713507,8.123287671232877,4.34319526627219,4.33892026108895,273,256,16,22,22,15.0,5.0,50.0,24.0,46.0,41,27.0,18.0,12.0,16.0,0.10829103214890017,0.14922480620155038,0.02707275803722504,0.023255813953488372,0.07920792079207921,0.15181518151815182,0.1353135313531353,0.016233766233766232,0.01899462609960406,1.0129721596714263,1.2644797435741384,1.0119750916218495,1.1393817266430695,1.0244276691273253,0.7651011778918755,0.8952211454292462
15,IND,-0.37431241724187075,-0.004324221411949936,-1.3693631696070914,-1.1971340851163776,-0.7266011025946019,612,596,325,331,4.929906542056075,4.988753263002692,2.744848374894123,1.1787428615027105,7.601941747572815,4.115384615384615,4.064477538342785,294,238,26,31,14,19.0,10.0,42.0,17.0,61.0,15,21.0,20.0,6.0,12.0,0.1323529411764706,0.10570469798657718,0.0196078431372549,0.010067114093959731,0.052307692307692305,0.18769230769230769,0.046153846153846156,0.030211480362537766,0.026186241022784072,0.959839423775854,0.9350650440215298,0.947966263898821,0.9462266170134433,0.9586807436213557,1.4238740954120706,1.234163629227307
16,WAS,0.25754555575478366,0.9499939197186408,7.409694761919226,6.883987797703453,-2.0967735908925533,539,560,295,323,4.328431372549019,4.801103203985402,4.871469527584701,3.49020040174208,8.87748344370861,4.208121827411167,4.108738399135986,276,206,12,20,13,19.0,4.0,57.0,15.0,43.0,29,17.0,14.0,6.0,12.0,0.10575139146567718,0.13214285714285715,0.022263450834879406,0.010714285714285714,0.05084745762711865,0.14576271186440679,0.09830508474576272,0.01238390092879257,0.017019196301157224,0.9814687100936836,0.8209820688058559,0.9582893134045108,0.9106346622372653,1.119539285080443,0.583656130750954,0.8021186796261681
17,CAR,0.497330325147645,-2.3778845673463436,-2.9139665672232073,-5.088143377924709,-8.530795276165009,637,580,347,299,4.765714285714286,5.0537565093323975,-0.3531123086867204,0.5960388833722788,7.623616236162362,4.504504504504505,4.256275525682492,306,249,16,22,13,23.0,7.0,49.0,25.0,52.0,19,22.0,23.0,8.0,18.0,0.11773940345368916,0.12241379310344827,0.0282574568288854,0.013793103448275862,0.07204610951008646,0.14985590778097982,0.05475504322766571,0.023411371237458192,0.0225124406180892,1.0505946374577841,0.9039223766921411,0.9926996939071139,0.9585559102510143,0.9614141130062597,1.1033833709263434,1.0610165617818506
18,PIT,0.5786295726766599,-1.2383192542212147,-0.6065956412944021,-2.2235110526538207,-0.22957149360861098,480,463,286,262,4.7924528301886795,5.085951752000576,1.4051886061404615,0.7808784016283082,8.107438016528926,4.431952662721893,4.304560621197315,270,157,14,12,11,19.0,2.0,37.0,14.0,35.0,2,23.0,17.0,12.0,12.0,0.10833333333333334,0.12958963282937366,0.025,0.02591792656587473,0.04895104895104895,0.12237762237762238,0.006993006993006993,0.007633587786259542,0.015731110769728725,1.0336732256047658,0.9089939288712202,1.0039613237636902,0.9646624450800192,1.0224288694439974,0.35977276761938576,0.7414109089751681
19,ATL,0.6292965787218551,0.9540925086145139,-0.911144310625914,-4.1258461501929595,12.715066628796714,542,563,318,292,4.867724867724868,5.012044380005723,1.875538713134387,0.519611411642686,7.10431654676259,4.504545454545455,4.29357131359794,299,186,22,12,11,11.0,3.0,33.0,14.0,60.0,8,18.0,16.0,12.0,5.0,0.14022140221402213,0.0905861456483126,0.00922509225092251,0.021314387211367674,0.0440251572327044,0.18867924528301888,0.025157232704402517,0.010273972602739725,0.016707481490824558,1.0506041883181247,0.9232709238795296,1.0013982654691025,0.9506442888617757,0.8959252380678183,0.48421471806307737,0.7874274881233732
