,player_id,week,targets_wk,red_zone_targets_wk,deep_targets_wk,air_yards_per_target_wk,carries_wk,red_zone_carries_wk,yards_per_carry_wk,team,targets_wk_team,carries_wk_team,target_percentage_wk,carry_percentage_wk,player_name
547,00-0034011,3,4.0,,,9.75,,,,CAR,33,30,0.12121212121212122,,D.Arnold
548,00-0036955,3,5.0,1.0,,6.6,,,,CAR,33,30,0.15151515151515152,,T.Marshall
549,00-0036555,3,5.0,1.0,,1.4,11.0,1.0,4.7272727272727275,CAR,33,30,0.15151515151515152,0.36666666666666664,C.Hubbard
550,00-0034827,3,12.0,,1.0,12.583333333333334,1.0,,-1.0,CAR,33,30,0.36363636363636365,0.03333333333333333,Dj.Moore
551,00-0034869,3,,,,,5.0,2.0,2.8,CAR,33,30,,0.16666666666666666,S.Darnold
552,00-0034830,3,1.0,,,5.0,,,,ATL,36,20,0.027777777777777776,,H.Hurst
553,00-0032778,3,1.0,,,5.0,,,,ATL,36,20,0.027777777777777776,,T.Sharpe
554,00-0028097,3,3.0,1.0,,0.6666666666666666,,,,ATL,36,20,0.08333333333333333,,L.Smith
555,00-0036970,3,3.0,1.0,,10.666666666666666,,,,ATL,36,20,0.08333333333333333,,K.Pitts
556,00-0032063,3,4.0,,,-2.5,12.0,1.0,4.166666666666667,ATL,36,20,0.1111111111111111,0.6,M.Davis
557,00-0035208,3,6.0,1.0,,10.5,,,,ATL,36,20,0.16666666666666666,,O.Zaccheaus
558,00-0030578,3,7.0,,,-0.8571428571428571,7.0,,2.857142857142857,ATL,36,20,0.19444444444444445,0.35,C.Patterson
559,00-0034837,3,11.0,3.0,,5.181818181818182,,,,ATL,36,20,0.3055555555555556,,C.Ridley
560,00-0026143,3,,,,,1.0,,-1.0,ATL,36,20,,0.05,M.Ryan
561,00-0034830,2,1.0,,,6.0,,,,ATL,48,21,0.020833333333333332,,H.Hurst
562,00-0035572,2,1.0,,,0.0,,,,ATL,48,21,0.020833333333333332,,P.Hesse
563,00-0034132,2,1.0,,,8.0,,,,ATL,48,21,0.020833333333333332,,C.Blake
564,00-0028097,2,1.0,,,6.0,,,,ATL,48,21,0.020833333333333332,,L.Smith
565,00-0030968,2,1.0,,,3.0,2.0,,1.5,ATL,48,21,0.020833333333333332,0.09523809523809523,K.Smith
566,00-0032778,2,2.0,,,10.0,,,,ATL,48,21,0.041666666666666664,,T.Sharpe
567,00-0035208,2,4.0,,,4.75,,,,ATL,48,21,0.08333333333333333,,O.Zaccheaus
